document,term,count
1,laugheth,1
1,laughing,1
1,laughs,1
1,laughter,1
1,lave,1
1,law,6
1,laws,1
1,lay,11
1,lays,2
1,lead,3
1,leader,69
1,leadeth,1
1,leads,1
1,leaf,1
1,leafage,1
1,leafy,1
1,leap,1
1,leapeth,1
1,leaping,1
1,leapt,2
1,learn,8
1,learned,2
1,learning,1
1,leave,4
1,leaves,1
1,led,4
1,leda,1
1,leech,1
1,lees,1
1,left,7
1,leman,1
1,lemnian,1
1,lendeth,1
1,lesson,2
1,lest,1
1,let,15
1,letters,1
1,licks,1
1,lie,9
1,lied,1
1,lies,12
1,lieth,1
1,life,19
1,lifeblood,2
1,lifes,1
1,lift,2
1,lifted,3
1,lifteth,1
1,lifting,1
1,light,12
1,lighted,1
1,lightens,1
1,lightly,2
1,lights,3
1,like,55
1,liked,1
1,likes,2
1,likewise,1
1,limbs,2
1,line,2
1,linger,1
1,lingered,1
1,lingering,1
1,lion,4
1,lioness,1
1,lions,4
1,lip,1
1,lips,4
1,little,9
1,live,2
1,lived,2
1,lives,3
1,liveth,3
1,living,3
1,load,1
1,loath,1
1,loathing,1
1,lone,1
1,lonely,4
1,long,28
1,longing,2
1,longingo,1
1,look,4
1,looked,2
1,looks,1
1,loose,2
1,lord,12
1,lords,3
1,lost,10
1,lot,1
1,loud,1
1,love,14
1,lovea,1
1,loved,4
1,loveliness,1
1,lover,3
1,loves,3
1,loveth,1
1,loving,1
1,lovingly,1
1,low,4
1,lowwrought,1
1,loxias,2
1,lurketh,1
1,lust,3
1,lustral,1
1,lusty,1
1,lying,3
1,lyreless,1
1,mad,3
1,maddeneth,1
1,maddening,1
1,made,13
1,madness,2
1,magic,1
1,maid,4
1,mailed,1
1,main,2
1,make,9
1,makes,4
1,making,3
1,makistos,1
1,malignant,1
1,man,39
1,manblinding,1
1,manhunted,1
1,manifold,3
1,mankind,1
1,manpassioned,1
1,mans,14
1,many,17
1,mar,3
1,marble,2
1,mark,3
1,marked,3
1,marksman,1
1,marring,1
1,marshal,1
1,mart,1
1,marvel,3
1,marvels,1
1,master,6
1,mastered,2
1,masters,1
1,mastery,1
1,mate,3
1,mattock,1
1,may,28
1,maybe,1
1,mean,3
1,meaning,4
1,measure,1
1,measured,1
1,meat,2
1,meats,1
1,mecome,1
1,medicine,4
1,medicining,1
1,meet,2
1,meeting,1
1,meets,1
1,melody,1
1,melt,1
1,melteth,1
1,melts,1
1,memory,1
1,men,45
1,mena,1
1,menacing,1
1,"""menela\u00e3s""",2
1,menelaus,1
1,mens,7
1,merciful,1
1,mercy,2
1,mercys,1
1,mess,1
1,message,5
1,messapions,1
1,messenger,1
1,messengers,1
1,met,3
1,methinks,5
1,mid,6
1,midmost,2
1,midnight,2
1,midst,1
1,midwinter,1
1,might,5
1,mighty,1
1,milkfed,1
1,mind,6
1,mine,29
1,mingle,1
1,mire,1
1,mirrored,1
1,mischief,1
1,misery,2
1,misfortune,1
1,misgloried,1
1,miss,5
1,missed,1
1,mist,1
1,mists,1
1,moaning,2
1,mocked,1
1,mockers,2
1,mocketh,1
1,modern,1
1,monstrous,1
1,mood,4
1,moon,1
1,moony,1
1,moored,1
1,mooring,1
1,morn,2
1,mortal,3
1,mortally,1
1,mortals,1
1,most,1
1,mother,1
1,mothered,1
1,mothers,1
1,mount,1
1,mountain,1
1,mourners,5
1,mouth,3
1,mouths,1
1,move,4
1,moves,2
1,moving,1
1,mowed,1
1,much,3
1,multitude,2
1,murdered,2
1,murderous,1
1,murders,1
1,murk,1
1,murmur,2
1,murmuring,1
1,murmurs,1
1,music,5
1,must,14
1,mustbe,1
1,mute,1
1,mystic,5
1,nailed,2
